snapshot_date,target,market,vin,year,trim,miles,price,dealer,city,state,listed_since,url
2026-08-23,i5-edrive40,National,WBY33FK07RCR64187,2024,eDrive40,14217,49050,,Plano,TX,2026-08-04,
2026-08-23,i5-edrive40,National,WBY33FK08RCR50315,2024,eDrive40,14318,49999,,Ontario,CA,2026-08-20,
2026-08-23,i5-edrive40,National,WBY33FK05RCS22435,2024,eDrive40,14520,54215,,Plano,TX,2026-08-16,
2026-08-23,i5-edrive40,National,WBY33FK00RCR89528,2024,eDrive40,14811,51698,,West Palm Beach,FL,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK09RCP96469,2024,eDrive40,15707,46216,,Madison,WI,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK09RCR14004,2024,eDrive40,15722,47359,,Indianapolis,IN,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK06RCR64195,2024,eDrive40,15911,45572,,Honolulu,HI,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK07SCT62315,2025,eDrive40,16431,549,,Peoria,AZ,2026-08-22,
2026-08-23,i5-edrive40,National,WBY33FK03SCT63915,2025,eDrive40,15282,44514,,Clearwater,FL,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK00SCT64147,2025,eDrive40,18073,44588,,Davie,FL,2026-08-15,
2026-08-23,i5-edrive40,National,WBY33FK05SCT65228,2025,eDrive40,18555,45100,,Raleigh,NC,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK05SCT64421,2025,eDrive40,17706,46040,,Conyers,GA,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK02SCU74990,2025,eDrive40 | PREM | DRIVING ASST PROF |  SKY LOUNGE PANO | $7K OPTS,13392,46250,,Plano,TX,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK09SCT64650,2025,eDrive40,10449,46590,,Indianapolis,IN,2026-08-11,
2026-08-23,i5-edrive40,National,WBY33FK07SCT64520,2025,eDrive40,20482,46801,,Wilmington,NC,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK09SCT13763,2025,eDrive40,10456,48884,,Ocala,FL,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK04SCT29868,2025,eDrive40,25684,48899,,Costa Mesa,CA,2026-07-30,
2026-08-23,i5-edrive40,National,WBY33FK08SCU88019,2025,eDrive40,2637,49000,,Marietta,GA,2026-07-29,
2026-08-23,i5-edrive40,National,WBY33FK0XSCU70010,2025,eDrive40,5770,49164,,Chandler,AZ,2026-06-24,
2026-08-23,i5-edrive40,National,WBY33FK06SCU63880,2025,eDrive40,6819,49500,,Decatur,GA,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK04SCT75975,2025,eDrive40,6403,49640,,Plano,TX,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK05SCU88074,2025,eDrive40,15143,50108,,Austin,TX,2026-07-29,
2026-08-23,i5-edrive40,National,WBY33FK08SCT70942,2025,eDrive40,24169,50213,,Greensboro,NC,2026-08-15,
2026-08-23,i5-edrive40,National,WBY33FK09SCT65958,2025,eDrive40,9184,51588,,Las Vegas,NV,2026-08-09,
2026-08-23,i5-edrive40,National,WBY33FK02SCU51967,2025,eDrive40,25689,51900,,Concord,CA,2026-08-11,
2026-08-23,i5-edrive40,National,WBY33FK03SCT79516,2025,eDrive40,23142,51988,,Wilmington,NC,2026-08-14,
2026-08-23,i5-edrive40,National,WBY33FK06SCU73471,2025,eDrive40,6660,53476,,Jacksonville,FL,2026-08-12,
2026-08-23,i5-edrive40,National,WBY33FK0XSCU88233,2025,eDrive40 Sedan M Sports Professional Package HID,7663,55987,,Alpharetta,GA,2026-08-09,
